c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0.18,2.75,0.48,3.58014,2.6975,10,12,8,4559491,4.48494,0.741004,32.3798
3.76,1.36,3.21,3.58014,2.00375,15,12,11,10617517,0.514049,0.0169928,48.7753
2.36,5.54,0.76,3.58014,3.46,14,14,8,5465963,4.43842,0.723276,32.485
2.12,2.38,0.2,3.58014,2.9225,13,11,7,3210587,7.29277,2.02148,28.0213
0.66,0.61,3.72,3.58014,2.2475,12,11,11,10112681,0.673486,0.0227016,47.5174
5.21,4.88,2.13,3.58014,2.82141,15,13,10,8736314,0.89596,0.0597367,43.3156
0.99,2.9,2.65,3.58014,3.49875,12,12,10,8231478,0.930473,0.0619148,43.1601
3.71,5.52,1.4,3.58014,3.54797,15,13,9,6764691,1.73499,0.20523,37.9556
2.21,2.52,4.76,3.58014,3.07906,14,12,11,10565917,0.521861,0.0170167,48.7692
4.82,2.62,3.09,3.58014,3.49281,15,13,10,8736314,0.89596,0.0597367,43.3156
2.4,1.83,3.28,3.58014,2.1725,14,12,11,10565917,0.521861,0.0170167,48.7692
2.63,2.57,3.2,3.58014,3.56234,15,13,10,8736314,0.89596,0.0597367,43.3156
5.19,3.27,3.45,3.58014,2.1743,16,13,11,11019153,0.432671,0.0157592,49.1027
1.74,2.16,2.27,3.58014,2.91875,13,12,10,8283078,0.930473,0.0611491,43.2141
2.35,0.66,3.75,3.58014,2.27844,14,11,11,10215881,0.622206,0.0219245,47.6687
4.17,3.38,2.62,3.58014,3.53016,15,12,10,8386278,0.930473,0.0609774,43.2263
1.27,4.94,4.58,3.58014,2.98687,13,13,11,10864353,0.452934,0.0159945,49.0383
1.59,3.76,0.84,3.58014,2.24937,13,13,9,6661491,1.74085,0.205492,37.95
1.92,3.19,2.62,3.58014,3.5375,13,12,10,8283078,0.930473,0.0611491,43.2141
2.42,0.51,4.11,3.58014,2.64063,14,10,11,9865845,1.02861,0.0414424,44.9036
2.89,0.3,4.26,3.58014,2.82031,14,9,11,9526600,1.82781,0.12026,40.2768
0.89,2.98,2.87,3.58014,3.29812,13,13,10,8633114,0.905725,0.0599084,43.3031
5.18,4.98,3.05,3.58014,3.44219,15,14,10,9086350,0.910852,0.059438,43.3374
1.66,2.44,1.01,3.58014,2.73375,13,12,9,6311455,1.79951,0.206681,37.925
3.41,3,0.7,3.58014,3.28156,14,13,8,5115927,4.47036,0.723554,32.4833
1.5,0.03,1.72,3.58014,2.00688,14,7,10,6717068,6.59191,1.4922,29.3397
1.5,3.81,2.55,3.58014,3.12,13,13,10,8633114,0.905725,0.0599084,43.3031
1.06,2.22,1.48,3.58014,3.30375,13,13,9,6661491,1.74085,0.205492,37.95
1.26,0.02,1.31,3.58014,3.0975,12,6,9,4447178,13.8183,4.84209,24.2277
1.52,1.9,0.6,3.58014,3.54,12,11,8,4312655,4.39063,0.730651,32.4409
3.05,0.54,3.28,3.58014,1.95766,15,11,11,10267481,0.622206,0.0219006,47.6734
2.7,2.41,4.26,3.58014,2.81688,14,12,11,10565917,0.521861,0.0170167,48.7692
3.05,0.76,2.9,3.58014,3.37531,14,11,10,7984642,1.05943,0.0659036,42.8889
4.58,2.31,2.06,3.58014,2.70906,15,12,10,8386278,0.930473,0.0609774,43.2263
5.4,2.71,1.7,3.58014,2.12313,15,13,10,8736314,0.89596,0.0597367,43.3156
5.27,2.71,4.37,3.58014,2.94484,15,12,11,10617517,0.514049,0.0169928,48.7753
1.81,3.96,3.59,3.58014,2.34656,14,13,11,10915953,0.43004,0.0158011,49.0911
4.76,0.99,1,3.58014,2.56938,15,11,9,6064619,1.92134,0.211373,37.8275
2.6,4.96,5.16,3.58014,3.28125,14,13,11,10915953,0.43004,0.0158011,49.0911
4.57,2.39,4.21,3.58014,2.77391,15,12,11,10617517,0.514049,0.0169928,48.7753
2.22,5.3,4.49,3.58014,2.97687,14,13,11,10915953,0.43004,0.0158011,49.0911
2.6,2.58,0.74,3.58014,2.20625,14,12,9,6363055,1.79951,0.206399,37.9309
4.15,4.1,2.84,3.58014,3.48219,14,13,10,8684714,0.8901,0.0598057,43.3106
2.52,3.64,5.3,3.58014,3.18375,14,13,11,10915953,0.43004,0.0158011,49.0911
1.7,0.08,0.79,3.58014,3.53313,14,8,8,3412427,6.04289,1.12032,30.5846
0.62,2.05,1.77,3.58014,2.36,12,12,10,8231478,0.930473,0.0619148,43.1601
5,0.27,5.51,3.58014,3.37313,15,9,11,9578200,1.82781,0.120237,40.2776
5.15,3.88,1.64,3.58014,2.20547,15,13,10,8736314,0.89596,0.0597367,43.3156
5.25,2.67,1.09,3.58014,2.92953,15,12,9,6414655,1.78389,0.206419,37.9305
2.4,0.24,1.32,3.58014,3.27,13,9,9,5272138,2.47994,0.310044,36.1638
0.43,2.59,2.36,3.58014,3.115,11,12,10,8179878,1.02422,0.0643379,42.9933
5.22,2.46,4.02,3.58014,2.70656,15,12,11,10617517,0.514049,0.0169928,48.7753
1.54,1.12,3.2,3.58014,3.52813,14,12,10,8334678,0.914848,0.0610464,43.2214
0.81,2.72,4.54,3.58014,3.05125,12,12,11,10462717,0.523116,0.017794,48.5752
0.77,0.57,3.78,3.58014,2.50812,13,10,11,9814245,1.02861,0.0416362,44.8833
2,0.42,4.79,3.58014,2.8775,14,10,11,9865845,1.02861,0.0414424,44.9036
3.19,3.27,0.14,3.58014,3.25688,13,12,6,2914679,15.1531,5.38703,23.7645
0.98,3.11,1.46,3.58014,3.37,13,13,9,6661491,1.74085,0.205492,37.95
5.07,0.45,3.22,3.58014,2.09961,16,10,11,9969045,1.01689,0.0414006,44.9079
1.97,2.4,0.52,3.58014,3.40312,13,11,8,4364255,4.43751,0.729549,32.4475
2.68,1.49,0.83,3.58014,2.11625,14,12,9,6363055,1.79951,0.206399,37.9309
2.08,2.24,0.44,3.58014,2.45,13,12,8,4714291,4.557,0.724772,32.476
1.54,1.84,2.06,3.58014,2.61625,13,12,10,8283078,0.930473,0.0611491,43.2141
1.84,2.76,3.61,3.58014,2.2075,14,13,11,10915953,0.43004,0.0158011,49.0911
